MId,Text,PictureList,LikeCount,CommentCount,RepostCount,BlogUser,Source,StatusCity,StatusCountry,CreatedAt
5040882501550930,"【<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%B9%B3%E9%A1%B6%E5%B1%B1%E4%B8%BE%E5%8A%9E%E9%A2%84%E9%98%B2%E7%BD%91%E7%BB%9C%E6%B2%89%E8%BF%B7%E2%80%9C%E5%85%AD%E4%B8%80%E2%80%9D%E6%99%AE%E6%B3%95%E6%B4%BB%E5%8A%A8%23&extparam=%23%E5%B9%B3%E9%A1%B6%E5%B1%B1%E4%B8%BE%E5%8A%9E%E9%A2%84%E9%98%B2%E7%BD%91%E7%BB%9C%E6%B2%89%E8%BF%B7%E2%80%9C%E5%85%AD%E4%B8%80%E2%80%9D%E6%99%AE%E6%B3%95%E6%B4%BB%E5%8A%A8%23"" data-hide=""""><span class=""surl-text"">#平顶山举办预防网络沉迷“六一”普法活动#</span></a> 】6月1日，市委网信办在市文化艺术中心举办“e助成长 法治护航·预防网络沉迷‘六一’儿童节普法活动”。  活动现场，市委网信办工作人员为孩子们发放《预防网络沉迷倡议书》《未成年人网络保护条例》等宣传彩页，并组织有奖答题活动。现场儿童踊跃参与，答 ...<a href=""/status/5040882501550930"">全文</a>",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,微博网页版,平顶山,中国,Sun Jun 02 18:18:26 +0800 2024
5040881646175269,"哎呦s1e7看得被治愈……<span class=""url-icon""><img alt=[抱一抱] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/co_a1hug-f3910d0e88.png"" style=""width:1em; height:1em;"" /></span>还是喜欢早期的叙事风格一点 ",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,荣耀50 SE 5G,南昌,中国,Sun Jun 02 18:15:02 +0800 2024
5040880926851309,"<a  href=""https://m.weibo.cn/p/index?extparam=%E7%A7%A6%E5%9B%BD%E5%AE%89%E8%82%A1%E5%B8%82%E4%BA%A4%E6%B5%81&containerid=10080831c3c9fe8d4b9b1eb50ec838fa9aad8a"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">秦国安股市交流</span></a>【周末投资舆情热点】 1）AI­PC：6月4日，台北国际电脑展将开启，今年展会以「AI串联、共创未来(Co­n­n­e­c­t­i­n­g­AI)」为主轴。 2）商业航天：中国在酒泉使用谷神星一号商业运载火箭，成功将极光星座01星、02星等5颗卫星发射升空。 3）移动支付：在人民银行上海总部和上海市 ...<a href=""/status/5040880926851309"">全文</a>",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,秦国安股市交流超话,武汉,中国,Sun Jun 02 18:12:10 +0800 2024
5040879754546485,新款 ROG 掌机X，还是 Z1E 处理器 + 7 英寸 1080p 120Hz 屏，SSD 改为 2280，升级到 24GB 内存，电池增加到80Wh。,<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,微博网页版,滨州,中国,Sun Jun 02 18:07:31 +0800 2024
5040879591490925,"<a  href=""https://m.weibo.cn/p/index?extparam=%E8%8C%83%E4%B8%9E%E4%B8%9E&containerid=1008089d9e9d6cb495f6cfa155189f7e821cc8"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">范丞丞</span></a> 🥦西兰花的功效和作用 1.抗氧化作用：西兰花富含维生素C、维生素E、类胡萝卜素和硫化物等抗氧化物质，能够有效抵抗自由基的侵害，有助于延缓细胞老化和预防慢性疾病。  2.促进消化：西兰花中富含膳食纤维和维生素B群，能够促进肠道蠕动，增加肠道菌群数量，有助于消化和吸收食物中的 ...<a href=""/status/5040879591490925"">全文</a>",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,范丞丞超话,普洱,中国,Sun Jun 02 18:06:52 +0800 2024
5040879314928404,magnet:?xt=urn:btih:72EC29337EBE6E9DB6B3A55E1EFA6C7B942D8D78 ,<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,三星Galaxy S10+,嘉兴,中国,Sun Jun 02 18:05:46 +0800 2024
5040861627551748,"<a  href=""https://m.weibo.cn/p/index?extparam=%E7%A7%A6%E9%9C%84%E8%B4%A4&containerid=100808a5f25e8455506d22b48454500adaa9e1"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">秦霄贤</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E7%A7%A6%E9%9C%84%E8%B4%A4%23&isnewpage=1"" data-hide=""""><span class=""surl-text"">#秦霄贤#</span></a> qxx <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%AE%89%E5%88%A9%E7%A7%A6%E9%9C%84%E8%B4%A4%23&extparam=%23%E5%AE%89%E5%88%A9%E7%A7%A6%E9%9C%84%E8%B4%A4%23"" data-hide=""""><span class=""surl-text"">#安利秦霄贤#</span></a>  【15天安利秦霄贤】 DAY 1 : 怎么认识秦霄贤？  我先开始<span class=""url-icon""><img alt=[哈哈] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_haha-0ec05e6dad.png"" style=""width:1em; height:1em;"" /></span> 那时候应该是2020年3/4月份，因为😷呆在家里闷得慌，就决定重新下载dy。 刷着刷着无意间刷到宝宝的视频。 那时候我根本不懂xs，就觉得这个男的好好看，好可爱，好好笑。 可能那段日子真的挺e ...<a href=""/status/5040861627551748"">全文</a>",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,秦霄贤超话,,新加坡,Sun Jun 02 16:55:29 +0800 2024
5040879158429077,"p1 我的mbti真的是天天变（真的从e变i了<span class=""url-icon""><img alt=[裂开] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png"" style=""width:1em; height:1em;"" /></span>） p2-3 我的跳蚤市场战绩<span class=""url-icon""><img alt=[耶] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/h_ye-8d6db3a711.png"" style=""width:1em; height:1em;"" /></span> p4-6 时隔一周积木战绩（期末送给学生）<span class=""url-icon""><img alt=[兔子] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_tuzi-d2b0222faa.png"" style=""width:1em; height:1em;"" /></span> ",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,iPhone 15 Plus,珠海,中国,Sun Jun 02 18:05:09 +0800 2024
5040877980093044,落叶球射门91789U6WCG2QH1E ,<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,实况足球手游,大兴安岭地区,中国,Sun Jun 02 18:00:28 +0800 2024
5040876181258549,"<a  href=""https://m.weibo.cn/p/index?extparam=%E5%8F%B0%E5%89%A7%E5%85%B3%E4%BA%8E%E6%9C%AA%E7%9F%A5%E7%9A%84%E6%88%91%E4%BB%AC&containerid=10080888c2c32e3eb9c2155acf312ff919f7bd"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">台剧关于未知的我们</span></a> 成名在望 | 用五分钟了解邱宇辰从出道至今 &quot;少年回头望，笑我还不快跟上&quot; 成名也许不是最终目的，而是理想开花、才华得到赏识、作品被人理解之後的附加品。  bgm：成名在望 🧡BV1zb421e798  本视频未经授权禁二传二改 <a  href=""https://video.weibo.com/show?fid=1034:5040873788866562"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">月亮一滴糖的微博视频</span></a> ",<[]string Value>,<int Value>,<int Value>,<int Value>,<weibo.BlogUser Value>,台剧关于未知的我们超话,东莞,中国,Sun Jun 02 17:53:18 +0800 2024
